labelnumber,name,vol,surfVS,distVS
0,Background,7791878.459358215,870.4037475585938,0.41015625
1,Tumour,715.3902053833008,0,0.0
2,Pons,8697.98412322998,0,4.068094480244444
3,Brainstem,7840.272903442383,0,2.751411769189194
4,Cerebellar Vermal Lobules I-V,3338.4876251220703,0,17.605057492561798
5,Cerebellar Vermal Lobules VI-VII,1496.8940734863281,0,28.426402582274303
6,Cerebellar Vermal Lobules VIII-X,2653.883171081543,0,18.150860877940517
7,Right Cerebellum,60431.16817474365,0,19.281706620656745
8,Left Cerebellum,60947.46036529541,208.36318969726562,0.41015625
