labelnumber,name,vol,surfVS,distVS
0,Background,7811193.237876892,1768.9140625,0.41015625
1,Tumour,2582.9750061035156,0,0.0
2,Pons,8400.22029876709,0,1.982998107447565
3,Brainstem,7572.537803649902,0,2.9002426572104487
4,Cerebellar Vermal Lobules I-V,3430.0878524780273,0,13.674259836644838
5,Cerebellar Vermal Lobules VI-VII,1407.817268371582,0,23.19649822510343
6,Cerebellar Vermal Lobules VIII-X,2224.1443634033203,0,14.35546875
7,Right Cerebellum,49700.06275177002,0,14.535974534377202
8,Left Cerebellum,51488.91677856445,1272.1357421875,0.41015625
