labelnumber,name,vol,surfVS,distVS
0,Background,7772935.128593445,1779.864501953125,0.41015625
1,Tumour,3438.6674880981445,0,0.0
2,Pons,11135.105323791504,0,2.05078125
3,Brainstem,8735.330772399902,0,0.8203125
4,Cerebellar Vermal Lobules I-V,4327.416801452637,0,15.117464568681864
5,Cerebellar Vermal Lobules VI-VII,1625.0839233398438,0,26.69010851795465
6,Cerebellar Vermal Lobules VIII-X,3195.40958404541,0,16.40625
7,Right Cerebellum,67526.02214813232,0,16.21219921671279
8,Left Cerebellum,65081.83536529541,1975.435302734375,0.41015625
